제목,랭크,장르,감독,배우
나일 강의 죽음,1,범죄,케네스 브래너,케네스 브래너
언차티드,2,액션,루벤 플레셔,톰 홀랜드
인민을 위해 복무하라,3,멜로/로맨스,장철수,연우진
나의 촛불,4,다큐멘터리,김의성,박영수
해적: 도깨비 깃발,5,모험,김정훈,강하늘
극장판 주술회전 0,6,애니메이션,박성후,오가타 메구미
킹메이커,7,드라마,변성현,설경구
타짜 전설의 땁,8,범죄,이승진,오지호
스파이더맨: 노 웨이 홈,9,액션,존 왓츠,톰 홀랜드
355,10,액션,사이먼 킨버그,제시카 차스테인
안테벨룸,11,미스터리,제라드 부시,자넬 모네
더 배트맨,12,액션,맷 리브스,로버트 패틴슨
리코리쉬 피자,13,멜로/로맨스,폴 토마스 앤더슨,알라나 하임
스크림,14,공포,맷 베티넬리-올핀,멜리사 바레사
전투왕,15,다큐멘터리,이상호,12세 관람가
나이트메어 앨리,16,범죄,기예르모 델 토로,브래들리 쿠퍼
피그,17,드라마,마이클 사노스키,니콜라스 케이지
킹스맨: 퍼스트 에이전트,18,액션,매튜 본,랄프 파인즈
시라노,19,멜로/로맨스,조 라이트,피터 딘클리지
대한민국 대통령,20,다큐멘터리,배상국,전체 관람가
씽2게더,21,애니메이션,가스 제닝스,매튜 맥커너히
이상한 나라의 수학자,22,드라마,박동훈,최민식
특송,23,범죄,박대민,박소담
모럴센스,24,멜로/로맨스,박현진,서현
문폴,25,액션,롤랜드 에머리히,할리 베리
광대: 소리꾼,26,드라마,조정래,이봉근
하우스 오브 구찌,27,스릴러,리들리 스콧,레이디 가가
뜨거운 피,28,범죄,천명관,정우
키미,29,스릴러,스티븐 소더버그,조 크라비츠
미싱타는 여자들,30,다큐멘터리,이혁래,이숙희
드라이브 마이 카,31,드라마,하마구치 류스케,니시지마 히데토시
굿 보스,32,드라마,페르난도 레온 데 아라노아,하비에르 바르뎀
셰터드,33,스릴러,루이스 프리에토,카메론 모나한
극장판 안녕 자두야: 제주도의 비밀,34,애니메이션,손석우,여민정
그랑블루,35,코미디,하나부사 츠토무,류세이 료
가면병동,36,스릴러,키무라 히사시,사카구치 켄타로
경관의 피,37,범죄,이규만,조진웅
코만도,38,액션,아시프 액크바,마이클 제이 화이트
텍사스 전기톱 학살 2022,39,범죄,데이빗 블루 가르시아,엘시 피셔
듄,40,모험,드니 빌뇌브,티모시 샬라메
클라우스,41,애니메이션,서지오 파블로스,제이슨 슈왈츠먼
시크릿 카운터,42,일본,신지 아라키,나카무라 토모야
그린 북,43,드라마,피터 패럴리,비고 모텐슨
나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,44,애니메이션,나가사키 켄지,오카모토 노부히코
극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출,45,애니메이션,블레어 시몬스,하성용
매미소리,46,드라마,이충렬,이양희
밴드스탠드,47,공연실황,로렌조 티오네,12세 관람가
코로나,48,스릴러,모스타파 케시배리,앤드리아 스테판시코바
도어맨,49,액션,기타무라 류헤이,루비 로즈
닥터 스트레인지: 대혼돈의 멀티버스,50,액션,샘 레이미,베네딕트 컴버배치
